directory,file_name,variable_name,variable_type,description
data/,weeklyvol2014.rda,PumpID,character,
data/,weeklyvol2014.rda,1,double,
data/,weeklyvol2014.rda,2,double,
data/,weeklyvol2014.rda,3,double,
data/,weeklyvol2014.rda,4,double,
data/,weeklyvol2014.rda,5,double,
data/,weeklyvol2014.rda,6,double,
data/,weeklyvol2014.rda,7,double,
data/,weeklyvol2014.rda,8,double,
data/,weeklyvol2014.rda,9,double,
data/,weeklyvol2014.rda,10,double,
data/,weeklyvol2014.rda,11,double,
data/,weeklyvol2014.rda,12,double,
data/,weeklyvol2014.rda,13,double,
data/,weeklyvol2014.rda,14,double,
data/,weeklyvol2014.rda,15,double,
data/,weeklyvol2014.rda,16,double,
data/,weeklyvol2014.rda,17,double,
data/,weeklyvol2014.rda,18,double,
data/,weeklyvol2014.rda,19,double,
data/,weeklyvol2014.rda,20,double,
data/,weeklyvol2014.rda,21,double,
data/,weeklyvol2014.rda,22,double,
data/,weeklyvol2014.rda,23,double,
data/,weeklyvol2014.rda,24,double,
data/,weeklyvol2014.rda,25,double,
data/,weeklyvol2014.rda,26,double,
data/,weeklyvol2014.rda,27,double,
data/,weeklyvol2014.rda,28,double,
data/,weeklyvol2014.rda,29,double,
data/,weeklyvol2014.rda,30,double,
data/,weeklyvol2014.rda,31,double,
data/,weeklyvol2014.rda,32,double,
data/,weeklyvol2014.rda,33,double,
data/,weeklyvol2014.rda,34,double,
data/,weeklyvol2014.rda,35,double,
data/,weeklyvol2014.rda,36,double,
data/,weeklyvol2014.rda,37,double,
data/,weeklyvol2014.rda,38,double,
data/,weeklyvol2014.rda,39,double,
data/,weeklyvol2014.rda,40,double,
data/,weeklyvol2014.rda,41,double,
data/,weeklyvol2014.rda,42,double,
data/,weeklyvol2014.rda,43,double,
data/,weeklyvol2014.rda,44,double,
data/,weeklyvol2014.rda,45,double,
data/,weeklyvol2014.rda,46,double,
data/,weeklyvol2014.rda,47,double,
data/,weeklyvol2014.rda,48,double,
data/,weeklyvol2014.rda,49,double,
data/,weeklyvol2014.rda,50,double,
data/,weeklyvol2014.rda,51,double,
data/,weeklyvol2014.rda,52,double,
data/,weeklyvol2015.rda,PumpID,character,
data/,weeklyvol2015.rda,1,double,
data/,weeklyvol2015.rda,2,double,
data/,weeklyvol2015.rda,3,double,
data/,weeklyvol2015.rda,4,double,
data/,weeklyvol2015.rda,5,double,
data/,weeklyvol2015.rda,6,double,
data/,weeklyvol2015.rda,7,double,
data/,weeklyvol2015.rda,8,double,
data/,weeklyvol2015.rda,9,double,
data/,weeklyvol2015.rda,10,double,
data/,weeklyvol2015.rda,11,double,
data/,weeklyvol2015.rda,12,double,
data/,weeklyvol2015.rda,13,double,
data/,weeklyvol2015.rda,14,double,
data/,weeklyvol2015.rda,15,double,
data/,weeklyvol2015.rda,16,double,
data/,weeklyvol2015.rda,17,double,
data/,weeklyvol2015.rda,18,double,
data/,weeklyvol2015.rda,19,double,
data/,weeklyvol2015.rda,20,double,
data/,weeklyvol2015.rda,21,double,
data/,weeklyvol2015.rda,22,double,
data/,weeklyvol2015.rda,23,double,
data/,weeklyvol2015.rda,24,double,
data/,weeklyvol2015.rda,25,double,
data/,weeklyvol2015.rda,26,double,
data/,weeklyvol2015.rda,27,double,
data/,weeklyvol2015.rda,28,double,
data/,weeklyvol2015.rda,29,double,
data/,weeklyvol2015.rda,30,double,
data/,weeklyvol2015.rda,31,double,
data/,weeklyvol2015.rda,32,double,
data/,weeklyvol2015.rda,33,double,
data/,weeklyvol2015.rda,34,double,
data/,weeklyvol2015.rda,35,double,
data/,weeklyvol2015.rda,36,double,
data/,weeklyvol2015.rda,37,double,
data/,weeklyvol2015.rda,38,double,
data/,weeklyvol2015.rda,39,double,
data/,weeklyvol2015.rda,40,double,
data/,weeklyvol2015.rda,41,double,
data/,weeklyvol2015.rda,42,double,
data/,weeklyvol2015.rda,43,double,
data/,weeklyvol2015.rda,44,double,
data/,weeklyvol2015.rda,45,double,
data/,weeklyvol2015.rda,46,double,
data/,weeklyvol2015.rda,47,double,
data/,weeklyvol2015.rda,48,double,
data/,weeklyvol2015.rda,49,double,
data/,weeklyvol2015.rda,50,double,
data/,weeklyvol2015.rda,51,double,
data/,weeklyvol2015.rda,52,logical,
data/,location.rda,PumpID,character,
data/,location.rda,Name/Description,character,
data/,location.rda,X (Arc 1960),double,
data/,location.rda,Y (Arc 1960),double,
data/,location.rda,Lat (WGS84),double,
data/,location.rda,Long (WGS84),double,
