pumpid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
A/01/09,34878.666666666664,29061.666666666668,28722.4,NA,NA,31372.6,26334,29757,29830,31518.666666666668,33934.6,34036,29715,31041,26912.2,31538.5,35885.5,30584.4,17510.5,19615.4,20243,26957,24419.5,21245,24101,17235.75,22624,25999.75,23686.833333333332,26337.5,23226,25462.5,27870.5,28256.666666666668,31507,24779,29426,30072,32009.833333333332,34800,28124.833333333332,27791,31557.166666666668,29106,33278,29164.333333333332,34955,42021,37545.2,37020.666666666664,42294,30506
A/01/11,4207,115,194.25,NA,NA,10164,12522,10299,12130,15545,12820,10544,10455,8926,7861,6064,6480.25,6415,3759,5654,3639,5554,6077,5983,7378,4076,5972,6538,6377,11068,7167,7653,5723,9863,11154,7803,14440,17792,12562,16411,9217,10644,19254,15934,9252,10858.75,21289,26725,17139,21592,30459,26523
A/01/12,127.75,4338,NA,NA,NA,6851.833333333333,8047,7311,9791,10684,12223,10455,8318,7090,6706,478,343,397,3259,3449,1237,2625,2571,3085,4404.4,2345,936,891,1375,942,1144,3254,488,415.3333333333333,80,2575,4576,5527,4915,3450,3393,4904,4343,7722,2699,1715,438,494,1307,921,949,403
A/01/14,11506.25,15220,16341,17487,16820,16158,19455,16392,15746,15854,13783,15998,15676,19727,13305,11545,11984,11679,10004,10040,10607,13295,13534,16607,21810.6,12119,15315,10968,11307,11035,10226,12872,11170,10472,13143,12486,15106,14531,14360,14158,12034,12733,14502.833333333334,17152,11272,12232,17423,17292,15188,15732,16249,16670
A/01/15,4853.333333333333,4928,6652,6774,NA,6717.666666666667,4896,4452,6443,6252,3044,1,1,2,1,1,5.25,1,3,0,1,3,3,0,0,576,1656,1533,1285,1826,1088,1705,2574,3049.6666666666665,3097,1863,2119,2043,3479,2962,2754,2755,3119,2861,2408,2142,2710,3086,3002,1797,1771,2264
A/02/09,12149.666666666666,12411,NA,NA,NA,18210.5,17742,20620,26896.333333333332,14241,12824,12289,13291.833333333334,14246,11314,11860.333333333334,10435.25,9233,7115,5645.5,6164,7528,7878.5,7124.833333333333,8080.8,6308.166666666667,7689,8615.833333333334,8950,9152,8060.5,8394.4,10115,10045,10181,11745,9614,12012,13624,15314.833333333334,10621,11110,12944,12825,8985.666666666666,11240.833333333334,13892,14517,10300,11928,11488,13323
A/02/11,18071.666666666668,18757,17594.5,NA,NA,17936.333333333332,18822,19819,17891,17880,16167,15415,15243,15659,16406,17341,17963.75,15327,10222.333333333334,11468,9455,11510,11884,12535,13647.2,9762,13500,12329,13848,16771,11177,12701,10089,12555.666666666666,15051,13546,16284.8,17529,17221,21714,17328,18313,22457,21564,16031,18018,23606,27494,21870,20531,25647,25455
A/02/12,17740.333333333332,20990,20821,NA,NA,25389,22397,24607,24536,22797,18600,21890,19962,17786,8858,12859,17517.5,16973,8427,13267,11603,18162,16664,15232,18034.8,9442,16336,16243,17566,19715,14115,17677,18033,15318.333333333334,22519,20206,22997.333333333332,23551,23897,28470,20332,23906,25349,31710,20504,22218,25688,35175,25574,32085,34479,33050
A/02/13,11281.666666666666,10278,10733,9552.666666666666,NA,11631.666666666666,10995,11551,9892,9889,10250,9943,10038,10180,9070,8498,9101.75,7401,4856,5395,4861,6180,5685,5600,6151.833333333333,4569,6789,6018,5898,7304,5160,6255,6656,6885.666666666667,6792,6747,6594,6736,7414,8141,7602,9601,14274,9855,9741,10256.4,9301,8912,7730,8538,9744,8832
A/02/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/02/15,NA,NA,NA,NA,NA,NA,NA,9905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7458.5
A/02/26,NA,NA,NA,NA,NA,9814,6784,7336,8168,7775,9273,5964,5713,6002,5384,5636,6335,5188,4739,5491,5256,6381,6783,6707,7574,5187,6764,6152,6911,8195,7634,7088,10932,12099.5,10311,8024,7714,6759,7808,6902,5531,5774,5385,5908,5268,5793,7261,6568,5137,9280,6785,7106
A/02/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/03/09,13303.5,14682.5,13930,NA,NA,10405.5,10476,10752,11315.5,9791.833333333334,9273.6,9131,10194,8764,6095,5515,7759.5,6468,4104,5070.8,4849,7241,6818,5375,8930.6,4416,6908,7392,7253,7316,6117,8123,8910,6897.333333333333,8389.5,8366.166666666666,9511,9735,10485,14168,9671.666666666666,9544,12269,11842,7706,8959,11966,18534,10978,16900.333333333332,13542,15993.25
A/03/11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/03/12,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A/03/13,15358,14688,14407,14583.333333333334,NA,16814,18147,16591,19383,26623,23500,19954,20844,20806,18176,22732,22319.5,23067,3678,5798,7869,11345,10619,10802,11320.166666666666,8707,11241,9248,10706,10961,7878,9916,8732,8628.666666666666,11336,8564,7921,11253,9680,12439,9340,10960,15376,13398,10162,10332,13363,0,0,0,NA,0
A/03/16,16145.5,14067,14645,15684,15152.2,17867.5,18634,18767,20337.333333333332,21376,16343,13658,12898,15179.5,11565.4,13657,14827.75,12098.333333333334,9091.833333333334,10162,8738,11904.2,11082.4,11968,13244,2341,8936,9396,8890,9157,9583,9097.666666666666,8983.333333333334,12950,10136,7488.833333333333,8708,8791,7383.833333333333,8797,8077,8125,11520.6,9741,7117,8517,12391.166666666666,15768,11933.833333333334,11696,11774,17801
A/03/26,0,NA,0,11001.666666666666,11733,12537,18982,11484,10962,12785,10557,9419,7996,9595,7707,9562,11189.5,10112,7194,8315,8378,9137,8395,7966,9957.5,5365,10153,8599,8885,9375,9473,9330,11317,10406.666666666666,10795,9284,8952,9225,9644,11165,7839,8939,9127,9756,7518,9456,10373,11690,9260,10314,11217,11997
A/04/09,NA,NA,NA,NA,NA,32641,26003,23341,24125,23041,22737,23258,24048,24061,20587,20998,22132.25,18204,11944,16233,13821,18107,18025,18150,19576.2,12254,17876,18216,18472,19004,16799,17106,19234,17875.666666666668,19970,21304,21295,22137,20126,22827,17014,17160.5,21350,22133,15965,16982,21601,24148,18494,21359.333333333332,21615,25880.166666666668
A/04/10,0,0,0,NA,11298,8764,11221,10382.75,10717,NA,8194.666666666666,6888,10159.333333333334,8054.666666666667,6251,9909.666666666666,10993.5,6874,NA,NA,5432,8270.5,NA,5131,NA,6797,NA,10567.666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/04/11,77,614,742,777,NA,1376.6666666666667,1251,1394,1482,1519,934,1343,1107,1207,1034,467,232.75,151,641,957,869.1666666666666,951,672,900,1121.4,682,602,581,646,838,734,1082,133,136.5,193,1104,1692,2493,2673,2518,2058,2904,2765,2638,846,1231,325,354.6666666666667,355,329,318,273
A/04/12,10603.25,10923,12116,12021.333333333334,NA,17958.5,13248.666666666666,15370,17967,23029,10289,9990,11909,14163,12404,16372,18291,10062,221.66666666666666,0,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A/04/14,13588.75,9037,9409,11786,10809.166666666666,10026.333333333334,10339,12571,13779,9975,8849,10687,9110,10035.666666666666,6773,5790,4513.25,4096,3526,3228,2602,4743,7243,10871,13356,5342,9926,8653,8657,9442,6105,5304,4509,6377,10461,9184,10601,8061,10084,9483,7049,5392,5284,6017,5355,4728.5,6849,6156,7277,7884,5352,7368
A/04/15,10750.25,20346,24339,10901.333333333334,812,0,9049,19075,15610,9,13,17,5,471,4163,2984,3323.25,4385.5,5051.666666666667,8332,8782,2443,81,44,23.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/04/16,28551.25,29855,28307,30751,NA,28232.166666666668,26402,28422,27714,28291,26343,28003,26123,26696,22524,25104,28204.75,25263,13189,17436,16097,22733,21980,20052,21921.666666666668,14296,23701,23286,24116,27830,18813,21963,25409,22115.333333333332,24202,21163,22541,22180,22616,26226,17736,22206,27186,24559,20940,20228,30185,32132,26783,28365,29593,31320
A/04/26,NA,NA,NA,1318.3333333333333,10467,11818,3809,2990,2471,3043,9019,4484,6618,4397,3499,2743,3465,3566,1557,3576,3986,3028,3953,3320,4046,1306,3636.5,2887,3710,3855,2380,2488,7357,8570.333333333334,5098,3771,3605,1472,0,4,2481,822,1179,2061,471,1969,3540,4960,5557,4172,4133,3237
A/04/27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A/05/09,15990.333333333334,17883.25,NA,NA,NA,27477.8,16874.666666666668,19733,22759.333333333332,22475,22588,21165,20697,22756,19347,21727,25219.25,21056,12699,15106,14406,20347,21367,13688,16360.4,10325,15364,15504,15621,14882,12304,15324,18992,14681.333333333334,20413,12353,16148,19554,18710,19657,16344,16348,21636,20446,14299,16709,22303,26706,16386,21953.75,NA,NA
A/05/10,10598,9430.75,12510.4,NA,NA,15591.333333333334,15473,15838.666666666666,18603.666666666668,18401.6,17764.25,16056.25,17973.2,17515.166666666668,15949.5,15359.75,14850.5,13541,8174.6,9482.666666666666,7942.666666666667,10522.166666666666,10096,7925.75,12376,6889,9470,10146.5,9259,10129,8937.6,10323.833333333334,11324.6,9774.333333333334,11011,12860.75,12418,14820.75,16594.666666666668,16829.4,12931.333333333334,13191,15053.5,15204,10116,NA,14774.2,17474.8,11092.666666666666,16228,17152,20740
